"Site","Treatment","Seed_Arrival","PlotID","GNDVI_apr_21","LCI_apr_21","NDRE_apr_21","NDVI_apr_21","OSAVI_apr_21","GNDVI_oct_21","LCI_oct_21","NDRE_oct_21","NDVI_oct_21","OSAVI_oct_21"
2,"C","SA1",9,0.327181107682051,0.0843964572742009,0.0693447103087433,0.30034631454556,0.180129402833648,0.409062748100699,0.113024763090235,0.091013157308503,0.353110225150972,0.2007973985326
2,"SM+BC","SA2",10,0.307767376378255,0.0879658496985667,0.0728266410314829,0.293984915795058,0.152354931002832,0.25792054584127,0.0641907617413359,0.0573552055646696,0.175980028526791,0.114683331023866
2,"SM","SA2",11,0.327511977463373,0.0841351253860711,0.0694240554407314,0.295398161959546,0.184574988856839,0.288904634711917,0.0758968812392687,0.0663344131702513,0.207919347188972,0.137558490421766
2,"SM+BC","SA4",12,0.324913860645068,0.0904912269555057,0.0755258870451175,0.288121469085883,0.169646572605234,0.233715168736322,0.0528211016160621,0.047896657024743,0.149963722401912,0.0966513352754183
2,"SM","SA4",13,0.338123318187479,0.0992290509698936,0.0848261850983066,0.268719233581625,0.154157395319824,0.325169049426608,0.0736088640737042,0.0637324641716346,0.221306720544551,0.14691586284025
2,"BC","SA1",14,0.486674117494349,0.102360551170475,0.0858275538158867,0.294472753272949,0.181625977464402,0.370024432133595,0.093926606501713,0.080047223086622,0.264766062212236,0.12609965499436
2,"C","SA4",15,0.337384890013411,0.0897538546162883,0.0747214244691246,0.290390880125531,0.179409074703327,0.410062510518771,0.106570394094651,0.0864940871901467,0.335911659134578,0.187386640016148
2,"SM+BC","SA3",16,0.321331949136554,0.0860791212857636,0.0717499678649031,0.284828115295144,0.181933710402793,0.346817208977684,0.0930599853728623,0.0749777190588403,0.324415595078958,0.187467161513489
2,"SM","SA1",17,0.331236146767692,0.08416309814936,0.0690003713474588,0.302714302252475,0.188032105920602,0.29971845192268,0.076049857331815,0.0650533602824216,0.236991613368077,0.14769452478261
2,"BC","SA2",18,0.327593472772354,0.0810231869997576,0.0667159182279618,0.294667725293483,0.191463639780027,0.296283391952129,0.091117726303373,0.0793815980396426,0.235154305262265,0.10291085777586
2,"C","SA4",19,0.325641486842452,0.084864023852489,0.0700257286893098,0.295832142148948,0.186225833364493,0.375634057740215,0.104907531834299,0.0897153062990647,0.270348416452065,0.158011336458392
2,"SM+BC","SA1",20,0.369117970752037,0.107051395206779,0.0898931427344295,0.297300204265704,0.172709633566958,0.283405918132926,0.0576703193192017,0.0513113093977503,0.179275478074711,0.112818544008889
2,"BC","SA3",21,0.505987858720832,0.111572944439236,0.0928043324874111,0.312408146526045,0.202847757725131,0.463484002701662,0.108483276671199,0.090271164420139,0.310232315843212,0.171090584978473
2,"SM","SA4",22,0.310985265816592,0.0838637333502683,0.0700513868302996,0.28031277085443,0.164678518596963,0.286726012008126,0.0668858305732612,0.0584438428478639,0.205056142342894,0.128759846561777
2,"BC","SA1",23,0.307237603890427,0.0742642887004549,0.0615936432593827,0.277765832332623,0.183486762400104,0.304685123129479,0.0911818937737494,0.0779181243470938,0.259488273523389,0.113929811489954
2,"SM+BC","SA2",24,0.321585569470445,0.0856386228689511,0.0712690881678241,0.287744421461202,0.182611091763079,0.283396433437679,0.0704965301655346,0.0607977361302786,0.224702137155051,0.137569737703432
2,"SM","SA3",25,0.304423725500346,0.0838736489376236,0.0701523407681444,0.278410478013046,0.166559396424771,0.239559192012062,0.0576242512220788,0.051860530221936,0.162652858529502,0.105498301412474
2,"C","SA2",26,0.344374550001687,0.0986083645363265,0.0815293722961105,0.310017729126027,0.190642453807041,0.384230927049479,0.110813186421216,0.0933865513442453,0.288330628408357,0.16875367654683
2,"BC","SA4",27,0.32489531810861,0.0942813257254011,0.0798309612458507,0.275852171305287,0.163856763327337,0.326879225540147,0.083507524127635,0.0728104346908457,0.231420477524003,0.110561933940841
2,"C","SA3",28,0.49913088354791,0.0996776524284785,0.0843518473819193,0.281269436262047,0.19927409510332,0.438621142206924,0.112721148891106,0.0954978217264933,0.292169059892035,0.179398876488887
2,"C","SA1",29,0.306117385446261,0.07541445684658,0.0633210467388826,0.266955310107907,0.171713383095197,0.344107719201563,0.0883949193921462,0.0760119939324354,0.249483838438339,0.139260790827739
2,"BC","SA4",30,0.284512809842256,0.0750022531739226,0.0625620670812595,0.27405524079728,0.160777499104716,0.303915508341997,0.0903872295219613,0.0774893147530595,0.259330272866704,0.118413777161474
2,"SM","SA3",31,0.306102067126409,0.0798648266058927,0.0669169206149508,0.272316480564153,0.176120169616281,0.230975793923967,0.049498573545295,0.0451001621514747,0.148642068866081,0.0968301123284314
2,"SM+BC","SA1",32,0.306650200641283,0.0800250899161156,0.0665821161648288,0.282365455966075,0.181528103766567,0.238368074632457,0.0609732694726428,0.0542901039181398,0.17655334056719,0.108972187326079
2,"SM+BC","SA3",33,0.335824873727012,0.0849212432678238,0.069730511440145,0.302759763953094,0.195887767837083,0.273026950127363,0.077329667659452,0.0687302470695497,0.200999912423961,0.102119021347872
2,"BC","SA2",34,0.349482918831971,0.0878245130068542,0.0734377575015089,0.28338042038398,0.190759172549168,0.364287517053688,0.0943995548433982,0.0799261015344569,0.27597927466622,0.137213931689371
2,"C","SA4",35,0.4653796433645,0.0829690104419378,0.0712075133014495,0.24797484379411,0.167623452608597,0.423807315021907,0.115881574509065,0.0966713326007572,0.313924493213368,0.186386135777272
2,"SM+BC","SA4",36,0.29129000273965,0.0711660983328612,0.0597959229080394,0.262001004030087,0.175218322087196,0.248684922148795,0.043971878226119,0.0389810739639639,0.169791984366612,0.107640398304961
2,"SM","SA3",37,0.287795084390647,0.0664475234307408,0.055760002542249,0.258016668871424,0.171841739123475,0.256668322186775,0.0509499504032443,0.0452655702515642,0.173242426277948,0.113178947533245
2,"BC","SA1",38,0.281652859803333,0.0709533542829958,0.0600871291976064,0.252259031865082,0.163307443818827,0.265305005931503,0.0826087531405236,0.073677176004991,0.205071362293569,0.0880988925037536
2,"C","SA3",39,0.306866287701296,0.0802097954318004,0.0672111012451996,0.272227899061124,0.179265480441342,0.250243429776541,0.0528646117379743,0.0478067592887706,0.160358903416934,0.104932880521685
